Race,Driver,LapNumber,Stint,Compound,TyreLife,Normalized_TyreLife,LapTime_Sec,Position,GapToAhead_Sec,GapToBehind_Sec,TrackTemp_C,AirTemp_C,IsPitInLap,PitNextLap
Bahrain Grand Prix,VER,1,1,SOFT,1,0.0286,90.238,11,4.398,3.205,40.6,20.2,0,0
Bahrain Grand Prix,VER,2,1,SOFT,2,0.0571,90.516,2,3.749,4.723,30.0,29.9,0,0
Bahrain Grand Prix,VER,3,1,SOFT,3,0.0857,90.993,12,0.604,2.861,36.0,20.5,0,0
Bahrain Grand Prix,VER,4,1,SOFT,4,0.1143,91.092,16,1.547,0.908,39.3,23.8,0,0
Bahrain Grand Prix,VER,5,1,SOFT,5,0.1429,90.781,5,3.234,1.267,31.0,29.5,0,0
Bahrain Grand Prix,VER,6,1,SOFT,6,0.1714,90.956,14,4.138,1.871,31.5,26.8,0,0
Bahrain Grand Prix,VER,7,1,SOFT,7,0.2,90.692,8,0.655,4.592,33.9,26.6,0,0
Bahrain Grand Prix,VER,8,1,SOFT,8,0.2286,90.987,2,2.413,1.436,38.5,20.3,0,0
Bahrain Grand Prix,VER,9,1,SOFT,9,0.2571,91.063,10,4.527,3.191,43.8,20.9,0,0
Bahrain Grand Prix,VER,10,1,SOFT,10,0.2857,91.488,8,4.3,3.863,38.1,25.9,0,0
Bahrain Grand Prix,VER,11,1,SOFT,11,0.3143,91.292,13,1.134,4.11,31.1,29.9,0,0
Bahrain Grand Prix,VER,12,1,SOFT,12,0.3429,91.452,1,1.394,0.525,42.2,27.1,0,0
Bahrain Grand Prix,VER,13,1,SOFT,13,0.3714,91.651,5,4.668,3.43,43.7,28.5,0,0
Bahrain Grand Prix,VER,14,1,SOFT,14,0.4,91.696,12,1.989,0.786,34.7,23.3,0,0
Bahrain Grand Prix,VER,15,1,SOFT,15,0.4286,91.791,3,2.625,1.038,40.7,27.6,0,0
Bahrain Grand Prix,VER,16,1,SOFT,16,0.4571,92.006,14,2.722,2.852,36.4,20.3,0,0
Bahrain Grand Prix,VER,17,1,SOFT,17,0.4857,91.393,4,4.584,1.622,36.2,27.6,0,1
Bahrain Grand Prix,VER,18,1,SOFT,18,0.5143,92.088,4,4.743,3.195,40.4,28.8,1,0
Bahrain Grand Prix,VER,19,2,HARD,1,0.0286,90.901,6,2.554,1.483,36.2,28.8,0,0
Bahrain Grand Prix,VER,20,2,HARD,2,0.0571,91.571,7,4.581,1.725,39.7,20.0,0,0
Bahrain Grand Prix,VER,21,2,HARD,3,0.0857,91.09,6,2.798,2.378,33.3,21.2,0,0
Bahrain Grand Prix,VER,22,2,HARD,4,0.1143,91.253,12,1.599,1.257,33.3,25.6,0,0
Bahrain Grand Prix,VER,23,2,HARD,5,0.1429,91.422,12,1.633,2.738,34.5,22.8,0,0
Bahrain Grand Prix,VER,24,2,HARD,6,0.1714,91.631,17,1.701,4.895,36.2,20.3,0,0
Bahrain Grand Prix,VER,25,2,HARD,7,0.2,92.057,2,2.889,2.515,38.3,25.9,0,0
Bahrain Grand Prix,VER,26,2,HARD,8,0.2286,91.471,11,2.163,1.59,42.0,24.7,0,0
Bahrain Grand Prix,VER,27,2,HARD,9,0.2571,91.896,16,4.093,1.178,37.6,27.0,0,0
Bahrain Grand Prix,VER,28,2,HARD,10,0.2857,92.042,3,3.159,3.549,30.2,25.1,0,0
Bahrain Grand Prix,VER,29,2,HARD,11,0.3143,92.23,9,3.609,2.24,44.1,21.4,0,0
Bahrain Grand Prix,VER,30,2,HARD,12,0.3429,91.842,18,4.661,4.448,33.9,26.6,0,0
Bahrain Grand Prix,VER,31,2,HARD,13,0.3714,92.284,17,1.588,0.919,43.5,29.0,0,0
Bahrain Grand Prix,VER,32,2,HARD,14,0.4,92.634,9,1.755,3.652,42.7,28.6,0,0
Bahrain Grand Prix,VER,33,2,HARD,15,0.4286,92.618,11,4.71,4.034,40.0,25.8,0,0
Bahrain Grand Prix,VER,34,2,HARD,16,0.4571,92.411,16,0.957,3.486,30.1,21.6,0,0
Bahrain Grand Prix,VER,35,2,HARD,17,0.4857,93.014,16,4.975,1.292,30.3,24.9,0,0
Bahrain Grand Prix,VER,36,2,HARD,18,0.5143,92.746,16,3.859,3.423,42.7,26.6,0,0
Bahrain Grand Prix,VER,37,2,HARD,19,0.5429,92.49,19,3.363,1.627,38.8,29.8,0,0
Bahrain Grand Prix,VER,38,2,HARD,20,0.5714,92.824,19,4.514,3.34,41.9,25.0,0,1
Bahrain Grand Prix,VER,39,2,HARD,21,0.6,92.801,5,1.536,2.746,38.6,27.7,1,0
Bahrain Grand Prix,VER,40,3,MEDIUM,1,0.0286,91.547,17,4.975,2.615,34.2,28.8,0,0
Bahrain Grand Prix,VER,41,3,MEDIUM,2,0.0571,91.099,3,4.911,0.839,34.6,21.9,0,0
Bahrain Grand Prix,VER,42,3,MEDIUM,3,0.0857,90.541,1,1.926,1.263,38.4,29.4,0,0
Bahrain Grand Prix,VER,43,3,MEDIUM,4,0.1143,91.265,18,3.268,4.955,32.1,25.2,0,0
Bahrain Grand Prix,VER,44,3,MEDIUM,5,0.1429,91.628,2,1.951,4.319,32.0,27.1,0,0
Bahrain Grand Prix,VER,45,3,MEDIUM,6,0.1714,90.817,3,1.653,3.252,31.2,20.1,0,0
Bahrain Grand Prix,VER,46,3,MEDIUM,7,0.2,91.464,4,4.092,3.425,40.5,28.0,0,0
Bahrain Grand Prix,VER,47,3,MEDIUM,8,0.2286,91.349,2,0.923,3.102,30.5,24.7,0,0
Bahrain Grand Prix,VER,48,3,MEDIUM,9,0.2571,91.697,17,0.668,4.202,35.4,21.3,0,0
Bahrain Grand Prix,VER,49,3,MEDIUM,10,0.2857,91.977,12,4.844,2.558,42.6,21.9,0,0
Bahrain Grand Prix,VER,50,3,MEDIUM,11,0.3143,91.7,15,3.648,1.123,32.0,29.7,0,0
Bahrain Grand Prix,VER,51,3,MEDIUM,12,0.3429,91.42,5,1.33,0.864,36.4,26.9,0,0
Bahrain Grand Prix,VER,52,3,MEDIUM,13,0.3714,91.33,1,1.28,1.204,33.8,25.5,0,0
Bahrain Grand Prix,VER,53,3,MEDIUM,14,0.4,92.144,1,4.797,3.821,38.3,26.1,0,0
Bahrain Grand Prix,VER,54,3,MEDIUM,15,0.4286,92.304,3,1.615,2.102,41.4,20.1,0,0
Bahrain Grand Prix,VER,55,3,MEDIUM,16,0.4571,92.008,16,4.131,2.058,37.0,26.5,0,0
Bahrain Grand Prix,VER,56,3,MEDIUM,17,0.4857,92.615,10,4.771,4.49,33.9,20.2,0,0
Bahrain Grand Prix,HAM,1,1,MEDIUM,1,0.0286,91.064,12,2.247,3.395,36.9,25.5,0,0
Bahrain Grand Prix,HAM,2,1,MEDIUM,2,0.0571,91.21,5,3.317,4.192,39.8,22.1,0,0
Bahrain Grand Prix,HAM,3,1,MEDIUM,3,0.0857,91.054,14,0.582,0.925,40.2,20.7,0,0
Bahrain Grand Prix,HAM,4,1,MEDIUM,4,0.1143,91.18,8,2.234,3.567,35.1,22.6,0,0
Bahrain Grand Prix,HAM,5,1,MEDIUM,5,0.1429,91.923,18,3.33,4.449,41.0,28.0,0,0
Bahrain Grand Prix,HAM,6,1,MEDIUM,6,0.1714,91.505,4,1.298,3.878,42.1,29.9,0,0
Bahrain Grand Prix,HAM,7,1,MEDIUM,7,0.2,91.148,7,3.112,4.402,38.4,22.4,0,0
Bahrain Grand Prix,HAM,8,1,MEDIUM,8,0.2286,91.37,13,3.83,1.572,35.7,25.3,0,0
Bahrain Grand Prix,HAM,9,1,MEDIUM,9,0.2571,91.141,13,4.53,2.251,30.2,29.1,0,0
Bahrain Grand Prix,HAM,10,1,MEDIUM,10,0.2857,91.816,12,2.097,4.806,40.2,24.8,0,0
Bahrain Grand Prix,HAM,11,1,MEDIUM,11,0.3143,91.701,5,1.819,1.979,40.1,27.5,0,0
Bahrain Grand Prix,HAM,12,1,MEDIUM,12,0.3429,91.991,16,4.053,0.91,37.4,20.6,0,0
Bahrain Grand Prix,HAM,13,1,MEDIUM,13,0.3714,91.552,11,3.676,4.859,40.3,28.4,0,0
Bahrain Grand Prix,HAM,14,1,MEDIUM,14,0.4,92.597,17,0.955,0.878,40.5,20.7,0,0
Bahrain Grand Prix,HAM,15,1,MEDIUM,15,0.4286,92.375,5,2.81,1.55,38.7,28.6,0,0
Bahrain Grand Prix,HAM,16,1,MEDIUM,16,0.4571,92.533,17,4.763,4.937,41.3,23.8,0,0
Bahrain Grand Prix,HAM,17,1,MEDIUM,17,0.4857,91.886,19,1.0,2.717,30.2,24.7,0,1
Bahrain Grand Prix,HAM,18,1,MEDIUM,18,0.5143,92.867,8,1.029,3.421,41.2,25.8,1,0
