iter	Logloss
0	0.6401941198
1	0.5980108601
2	0.5610419074
3	0.5281313137
4	0.4998921445
5	0.4751728271
6	0.4544449916
7	0.4343410857
8	0.4174469401
9	0.4013174043
10	0.3868843551
11	0.3760059157
12	0.367577791
13	0.3587723422
14	0.3520284359
15	0.3451051069
16	0.3384045779
17	0.3325204295
18	0.3274526676
19	0.3227366973
20	0.3186711935
21	0.3149343881
22	0.3117348595
23	0.3087270081
24	0.3057680936
25	0.3021034162
26	0.2999479261
27	0.2966360268
28	0.2944162712
29	0.2922372514
30	0.2905668711
31	0.2890057179
32	0.2873289675
33	0.2854600498
34	0.2841493814
35	0.2830575135
36	0.2818306966
37	0.2806543384
38	0.2797477589
39	0.2786589953
40	0.2778343348
41	0.2768758707
42	0.2759633953
43	0.2751494677
44	0.2743245251
45	0.2737021814
46	0.2728410423
47	0.2721371175
48	0.2716402186
49	0.2708357194
50	0.2701120134
51	0.2694336419
52	0.2686327758
53	0.2680738384
54	0.2675368706
55	0.2670220539
56	0.2664896596
57	0.2660465189
58	0.2654808255
59	0.2648922032
60	0.2644881188
61	0.2641191017
62	0.2636714858
63	0.2633974296
64	0.2629705383
65	0.2626746151
66	0.2619602969
67	0.2615996033
68	0.2613009164
69	0.2610176625
70	0.260710731
71	0.2603765666
72	0.2600625077
73	0.2598564183
74	0.2596389894
75	0.2594151969
76	0.2591982594
77	0.2589410132
78	0.258728613
79	0.258452571
80	0.2581073828
81	0.2578243138
82	0.2575661063
83	0.2573704891
84	0.2571264176
85	0.2568379044
86	0.2566252898
87	0.2563753645
88	0.2560227896
89	0.2558745106
90	0.2556604995
91	0.2555054634
92	0.2553714471
93	0.2552042878
94	0.254931232
95	0.2547925062
96	0.2546072815
97	0.2544711596
98	0.2543092057
99	0.2540836066
100	0.2539222746
101	0.2538009926
102	0.2536289182
103	0.253441073
104	0.253323382
105	0.2531764216
106	0.2530919149
107	0.2529443377
108	0.2528147851
109	0.2526942703
110	0.2525267571
111	0.2523706491
112	0.2522480958
113	0.2520857815
114	0.2516552188
115	0.2514800437
116	0.2513380587
117	0.2512054778
118	0.2510722552
119	0.2509436603
120	0.250816053
121	0.2507169347
122	0.2506003977
123	0.2503876115
124	0.2502537053
125	0.2499338165
126	0.2498129976
127	0.2497148347
128	0.2494154285
129	0.2493206606
130	0.2491969858
131	0.2490340742
132	0.2489131053
133	0.2488425908
134	0.2486359635
135	0.2485370882
136	0.2484681848
137	0.2482966563
138	0.2480998272
139	0.2479401122
140	0.2477952789
141	0.2477161349
142	0.247510851
143	0.2474406487
144	0.2473225439
145	0.247218753
146	0.2470464595
147	0.2469050362
148	0.2467948125
149	0.2466955974
150	0.2464668069
151	0.2462743323
152	0.2461967167
153	0.2459380415
154	0.2458791169
155	0.245696152
156	0.2456102578
157	0.2453930727
158	0.2452761595
159	0.2452234228
160	0.2451439793
161	0.244981035
162	0.2448450782
163	0.2447335329
164	0.2446416998
165	0.2444241333
166	0.2443243919
167	0.2441927677
168	0.2441033875
169	0.2440237872
170	0.2439673603
171	0.2438400737
172	0.2437740673
173	0.2436840266
174	0.2435834235
175	0.2435283567
176	0.2433884021
177	0.2432027335
178	0.2431123205
179	0.2430509599
180	0.2429890015
181	0.242914692
182	0.242788616
183	0.2426701009
184	0.242503132
185	0.2424093989
186	0.2423459105
187	0.2422395364
188	0.2421005085
189	0.24206664
190	0.2419731714
191	0.2418580567
192	0.2417822518
193	0.2416273626
194	0.2415644808
195	0.2414098498
196	0.2413034993
197	0.2412045199
198	0.2411094888
199	0.2409945692
200	0.2408793158
201	0.2408324962
202	0.2407271552
203	0.2405795346
204	0.2405084684
205	0.240449221
206	0.2403778159
207	0.2403002084
208	0.2402512367
209	0.2401662373
210	0.2400991282
211	0.2399978261
212	0.239798776
213	0.2396700806
214	0.2395474593
215	0.2394623002
216	0.2394270002
217	0.2393668017
218	0.2392822604
219	0.2392310707
220	0.2391797333
221	0.2391065762
222	0.2389531126
223	0.2388213556
224	0.2386985693
225	0.2386245065
226	0.2385845596
227	0.2385332086
228	0.2384597056
229	0.2384028406
230	0.2383457157
231	0.2382467192
232	0.2381984548
233	0.2381133076
234	0.2380362746
235	0.2379530718
236	0.2378850143
237	0.2378110039
238	0.2377463323
239	0.2376543009
240	0.2376031448
241	0.2375384638
242	0.2374884462
243	0.2374143574
244	0.2373533592
245	0.2373205022
246	0.2371776539
247	0.2370403076
248	0.2369409452
249	0.2368844881
250	0.2368486455
251	0.2367540702
252	0.2366641958
253	0.2366060351
254	0.2365604259
255	0.2364919507
256	0.2364338328
257	0.236341733
258	0.2362816221
259	0.2361555908
260	0.2361095784
261	0.2360517208
262	0.2360141413
263	0.2359431949
264	0.2358895286
265	0.2358449599
266	0.2357850071
267	0.2356747124
268	0.2356108905
269	0.2355488067
270	0.2354929355
271	0.2354241654
272	0.2353926626
273	0.2353283346
274	0.2352686063
275	0.2352266431
276	0.2351608463
277	0.2350815127
278	0.2349763295
279	0.2348937277
280	0.234770838
281	0.2347291411
282	0.2346073507
283	0.2345431431
284	0.2344723949
285	0.234385768
286	0.2343379355
287	0.2342471727
288	0.2341892635
289	0.2340927401
290	0.234049724
291	0.2339916736
292	0.2339494078
293	0.2338818525
294	0.2338130634
295	0.233749829
296	0.2336774614
297	0.2335911962
298	0.2335504852
299	0.2335014492
300	0.2334533776
301	0.2334164572
302	0.2333817571
303	0.2333250548
304	0.233280007
305	0.2332517592
306	0.2331773149
307	0.2330811428
308	0.2330125033
309	0.2329649638
310	0.2329221938
311	0.2328640665
312	0.2328196166
313	0.2327092955
314	0.2326605395
315	0.2325712172
316	0.2325311475
317	0.2324866315
318	0.2324317381
319	0.2323778247
320	0.2323299669
321	0.2322184033
322	0.23213227
323	0.232072872
324	0.2319994282
325	0.2319461375
326	0.2318744292
327	0.2318246369
328	0.2317673
329	0.2316865334
330	0.2316286026
331	0.2315869329
332	0.2315339822
333	0.2314907761
334	0.2314065168
335	0.2313074571
336	0.2312552614
337	0.2312099586
338	0.2311277773
339	0.2310347955
340	0.2309599794
341	0.2308853952
342	0.2308048023
343	0.2307651903
344	0.2306984125
345	0.230661009
346	0.2306342868
347	0.2305744712
348	0.2305129735
349	0.2304480643
350	0.2303953907
351	0.230324002
352	0.2302671747
353	0.2302182689
354	0.2301741518
355	0.2301155144
356	0.230049286
357	0.2299801645
358	0.2299282753
359	0.2298400991
360	0.2298099618
361	0.2297639699
362	0.2296877262
363	0.2296211735
364	0.2295416276
365	0.2294735612
366	0.2294231629
367	0.2293939688
368	0.2293216584
369	0.2292823377
370	0.2292356683
371	0.2291738805
372	0.2291251075
373	0.2290713451
374	0.2290059849
375	0.2289706165
376	0.2288969457
377	0.2288341169
378	0.2287776191
379	0.2287205848
380	0.2286387624
381	0.2286105364
382	0.2285510723
383	0.2285166386
384	0.2284815352
385	0.2284535007
386	0.2284096545
387	0.2283629143
388	0.2282875261
389	0.2282300839
390	0.2281846011
391	0.2281149105
392	0.2280754588
393	0.2280168084
394	0.2279484464
395	0.2278963237
396	0.227861468
397	0.2277960006
398	0.2277712025
399	0.2277093676
400	0.227674962
401	0.2276296734
402	0.2275675166
403	0.2275325803
404	0.2274922005
405	0.2274394145
406	0.2273850281
407	0.2273555964
408	0.2273053127
409	0.2272633339
410	0.2272082716
411	0.2271793163
412	0.2271216569
413	0.227087202
414	0.2270403667
415	0.2269883937
416	0.2269579656
417	0.2269165948
418	0.2268756983
419	0.226836418
420	0.226801154
421	0.2267627239
422	0.2267279491
423	0.2266865225
424	0.226650926
425	0.2266051435
426	0.226529219
427	0.2264799796
428	0.2264317988
429	0.22639067
430	0.2263341099
431	0.2263142788
432	0.2262726627
433	0.2261942241
434	0.2261651321
435	0.2261347718
436	0.2260778645
437	0.2260302407
438	0.2259887822
439	0.2259412511
440	0.2259065111
441	0.2258617894
442	0.2258205056
443	0.2257889554
444	0.2257655519
445	0.2257099779
446	0.2256792556
447	0.2256266573
448	0.2255816866
449	0.2255585156
450	0.2255326675
451	0.2254698871
452	0.2254341529
453	0.2254140084
454	0.2253788929
455	0.2253236398
456	0.2252813638
457	0.2252462063
458	0.2252031103
459	0.2251723063
460	0.225129209
461	0.2250626392
462	0.2250007726
463	0.2249614893
464	0.2249316698
465	0.2248684792
466	0.2248146599
467	0.224775069
468	0.2247417118
469	0.2246834191
470	0.2246402751
471	0.2246086451
472	0.2245755492
473	0.2245351703
474	0.2244893374
475	0.2244592306
476	0.2244075909
477	0.2243993856
478	0.2243555674
479	0.224314038
480	0.224266582
481	0.2242339532
482	0.2242039798
483	0.2241464686
484	0.2241163202
485	0.2240846976
486	0.2240522347
487	0.2240109775
488	0.2239764566
489	0.2239495435
490	0.2239125039
491	0.2238886905
492	0.2238630964
493	0.2238224588
494	0.2237831644
495	0.2237583132
496	0.2237208511
497	0.2236688795
498	0.2236364879
499	0.2235999589
500	0.2235698842
501	0.2235348532
502	0.2235188355
503	0.2234646981
504	0.2234400975
505	0.2233893415
506	0.2233396309
507	0.2233051063
508	0.2232739765
509	0.2232321397
510	0.2232088015
511	0.223171076
512	0.2231472386
513	0.2231250149
514	0.2230929103
515	0.2230377455
516	0.223006295
517	0.2229710672
518	0.2229312007
519	0.2228898092
520	0.2228713024
521	0.2228286881
522	0.2227995893
523	0.2227548161
524	0.2227229192
525	0.2226982766
526	0.22264871
527	0.2226090596
528	0.222572938
529	0.2225458246
530	0.2225246475
531	0.2224980736
532	0.222465966
533	0.2224120533
534	0.2223868174
535	0.2223473685
536	0.2223171612
537	0.2223036326
538	0.2222679527
539	0.2222157135
540	0.2221788925
541	0.2221402004
542	0.2221024538
543	0.2220584417
544	0.2220245565
545	0.2220069959
546	0.2219423244
547	0.2219157695
548	0.2218895861
549	0.2218549822
550	0.2218260874
551	0.2217929739
552	0.2217624887
553	0.2217252029
554	0.2217045678
555	0.221662468
556	0.22162707
557	0.2215856426
558	0.2215462262
559	0.2214915851
560	0.2214607868
561	0.2214291656
562	0.2213990829
563	0.2213688398
564	0.2213370266
565	0.221305418
566	0.22126532
567	0.2212302043
568	0.2212159515
569	0.2211828159
570	0.2211371719
571	0.2211162886
572	0.2210832598
573	0.2210446159
574	0.2210242346
575	0.220975708
576	0.2209581846
577	0.2209295524
578	0.2209109593
579	0.2208791162
580	0.2208662931
581	0.2208393999
582	0.2208133951
583	0.2207905313
584	0.2207657286
585	0.220704484
586	0.2206623237
587	0.220626738
588	0.220587128
589	0.220551965
590	0.2205290872
591	0.220493238
592	0.2204578531
593	0.2204028121
594	0.220376112
595	0.2203568137
596	0.2203122487
597	0.2203036492
598	0.2202593818
599	0.2202328774
600	0.2201994509
601	0.2201541671
602	0.2201391205
603	0.220106352
604	0.220085571
605	0.2200390025
606	0.2200080435
607	0.2199513743
608	0.2199234025
609	0.2198740473
610	0.2198092075
611	0.2197860862
612	0.2197681906
613	0.2197082427
