iter	Passed	Remaining
0	308	369936
1	609	364995
2	953	380436
3	1266	378580
4	1591	380286
5	1935	385252
6	2231	380383
7	2553	380522
8	2922	386678
9	3172	377564
10	3558	384664
11	3921	388203
12	4250	388060
13	4576	387716
14	4922	388859
15	5241	387856
16	5593	389248
17	5939	390031
18	6250	388524
19	6600	389426
20	7025	394447
21	7404	396452
22	7748	396537
23	8112	397535
24	8458	397544
25	8778	396375
26	9143	397216
27	9490	397257
28	9855	397970
29	10186	397266
30	10527	396995
31	10886	397363
32	11230	397150
33	11599	397811
34	11948	397701
35	12301	397742
36	12653	397726
37	13057	399286
38	13486	401477
39	13911	403444
40	14283	403777
41	14642	403720
42	15016	404051
43	15404	404708
44	15755	404396
45	16081	403423
46	16426	402976
47	16775	402600
48	17171	403346
49	17546	403579
50	17877	402773
51	18269	403325
52	18594	402416
53	18961	402402
54	19286	401508
55	19635	401119
56	19985	400771
57	20292	399556
58	20667	399680
59	21018	399348
60	21344	398553
61	21681	397961
62	22018	397388
63	22370	397075
64	22671	395884
65	23000	395188
66	23334	394600
67	23667	393991
68	23990	393233
69	24371	393431
70	24734	393316
71	25046	392398
72	25408	392263
73	25776	392217
74	26125	391887
75	26452	391214
76	26823	391212
77	27157	390645
78	27465	389732
79	27820	389492
80	28180	389309
81	28525	388920
82	28836	388079
83	29134	387073
84	29441	386203
85	29734	385166
86	30059	384557
87	30441	384669
88	30784	384282
89	31143	384107
90	31454	383331
91	31762	382525
92	32059	381614
93	32332	380424
94	32737	380792
95	33019	379721
96	33354	379283
97	33677	378704
98	34005	378184
99	34325	377584
100	34624	376757
101	34917	375878
102	35214	375049
103	35547	374613
104	35855	373922
105	36157	373169
106	36469	372532
107	36766	371752
108	37032	370662
109	37314	369753
110	37665	369525
111	38040	369533
112	38404	369430
113	38768	369318
114	39109	368986
115	39436	368524
116	39791	368328
117	40116	367844
118	40430	367268
119	40753	366777
120	41076	366296
121	41372	365570
122	41712	365239
123	42069	365051
124	42384	364506
125	42716	364109
126	43062	363825
127	43393	363423
128	43705	362856
129	43847	360901
130	44149	360272
131	44548	360437
132	44854	359846
133	45189	359491
134	45549	359337
135	45853	358733
136	46135	357972
137	46459	357532
138	46788	357139
139	47098	356601
140	47400	356006
141	47698	355389
142	48026	354995
143	48235	353730
144	48583	353488
145	48899	353011
146	49198	352420
147	49478	351695
148	49820	351420
149	50113	350795
150	50432	350352
151	50763	350000
152	51150	350031
153	51476	349641
154	51756	348939
155	52076	348512
156	52409	348171
157	52712	347634
158	53021	347137
159	53323	346600
160	53645	346194
161	53905	345392
162	54194	344785
163	54504	344306
164	54848	344052
165	55166	343626
166	55494	343268
167	55806	342811
168	56157	342594
169	56481	342210
170	56793	341759
171	57204	341897
172	57507	341391
173	57818	340929
174	58146	340570
175	58484	340272
176	58800	339844
177	59128	339488
178	59433	339005
179	59698	338290
180	60047	338059
181	60322	337407
182	60612	336847
183	60909	336324
184	61213	335847
185	61548	335541
186	61921	335437
187	62225	334956
188	62615	334943
189	62929	334521
190	63255	334162
191	63615	333981
192	63918	333501
193	64236	333101
194	64562	332747
195	64858	332234
196	65216	332039
197	65497	331457
198	65795	330960
199	66111	330557
200	66424	330137
201	66729	329682
202	67041	329265
203	67368	328914
204	67684	328516
205	67978	328012
206	68284	327566
207	68571	327035
208	68935	326865
209	69221	326329
210	69512	325818
211	69822	325397
212	70165	325131
213	70488	324776
214	70811	324415
215	71177	324253
216	71483	323816
217	71801	323437
218	72129	323102
219	72440	322688
220	72769	322360
221	73084	321966
222	73423	321681
223	73733	321265
224	74039	320839
225	74432	320783
226	74782	320541
227	75075	320057
228	75367	319572
229	75699	319253
230	76043	318987
231	76359	318604
232	76672	318205
233	76996	317857
234	77322	317517
235	77610	317019
236	77899	316528
237	78195	316067
238	78490	315605
239	78821	315286
240	79135	314900
241	79468	314590
242	79807	314301
243	80197	314218
244	80555	314000
245	80862	313589
246	81196	313281
247	81505	312876
248	81825	312512
249	82167	312236
250	82487	311875
251	82820	311562
252	83132	311170
253	83429	310724
254	83735	310312
255	84017	309813
256	84289	309278
257	84586	308837
258	84881	308390
259	85175	307942
260	85515	307659
261	85830	307287
262	86249	307285
263	86625	307128
264	86964	306838
265	87296	306521
266	87648	306277
267	87976	305946
268	88313	305650
269	88657	305374
270	89005	305114
271	89350	304842
272	89725	304672
273	90071	304401
274	90401	304077
275	90736	303770
276	91089	303522
277	91388	303094
278	91727	302797
279	92081	302553
280	92385	302142
281	92785	302047
282	93091	301643
283	93412	301288
284	93711	300862
285	94034	300516
286	94356	300164
287	94702	299892
288	95016	299515
289	95350	299204
290	95674	298859
291	96005	298538
292	96308	298130
293	96653	297849
294	96983	297524
295	97318	297215
296	97630	296834
297	97968	296534
298	98310	296247
299	98687	296062
300	99006	295705
301	99291	295244
302	99633	294953
303	99972	294656
304	100326	294399
305	100637	294020
306	100958	293666
307	101322	293440
308	101666	293156
309	102042	292959
310	102358	292594
311	102653	292167
312	102981	291834
313	103307	291498
314	103646	291196
315	103977	290874
316	104305	290543
317	104656	290274
318	104987	289948
319	105306	289592
320	105603	289176
321	105940	288868
322	106242	288467
323	106585	288175
324	106921	287865
325	107221	287458
326	107543	287111
327	107871	286781
328	108169	286368
329	108455	285928
330	108762	285543
331	109102	285244
332	109430	284912
333	109756	284578
334	110087	284255
335	110464	284051
336	110796	283731
337	111116	283380
338	111454	283074
339	111773	282721
340	112093	282371
341	112403	281994
342	112729	281660
343	113017	281230
344	113364	280946
345	113686	280603
346	114012	280266
347	114357	279978
348	114669	279609
349	115021	279338
350	115365	279045
351	115699	278729
352	116004	278345
353	116384	278140
354	116705	277791
355	117003	277391
356	117319	277032
357	117627	276655
358	117910	276220
359	118252	275922
360	118566	275561
361	118906	275259
362	119200	274851
363	119509	274478
364	119933	274367
365	120348	274236
366	120746	274064
367	121120	273838
368	121496	273615
369	121857	273356
370	122175	273000
371	122628	272947
372	122968	272640
373	123338	272400
374	123672	272080
375	124051	271857
376	124391	271548
377	124712	271200
378	125012	270806
379	125368	270531
380	125696	270198
381	126024	269863
382	126346	269516
383	126673	269181
384	127028	268904
385	127350	268557
386	127675	268217
387	127992	267860
388	128357	267604
389	128744	267391
390	129089	267093
391	129422	266768
392	129738	266408
393	130121	266188
394	130496	265947
395	130821	265606
396	131196	265367
397	131522	265028
398	131866	264723
399	132191	264382
400	132532	264072
401	132857	263732
402	133194	263414
403	133506	263047
404	133853	262749
405	134206	262463
406	134545	262147
407	134957	261976
408	135293	261656
409	135611	261299
410	135942	260969
411	136277	260648
412	136662	260420
413	137023	260145
414	137329	259767
415	137662	259441
416	137973	259072
417	138272	258682
418	138610	258364
419	138968	258084
420	139330	257811
421	139667	257490
422	139995	257154
423	140336	256841
424	140665	256506
425	141044	256263
426	141367	255918
427	141655	255508
428	142000	255203
429	142337	254883
430	142664	254544
431	143008	254237
432	143508	254204
433	143868	253924
434	144212	253615
435	144636	253445
436	145017	253199
437	145380	252921
438	145738	252635
439	146224	252569
440	146609	252328
441	146972	252047
442	147299	251705
443	147678	251452
444	148043	251175
445	148429	250931
446	148867	250776
447	149322	250649
448	149722	250426
449	150180	250300
450	150554	250034
451	150946	249795
452	151294	249484
453	151694	249259
454	152031	248931
455	152438	248714
456	152912	248609
457	153226	248240
458	153624	248007
459	153963	247680
460	154395	247502
461	154716	247144
462	155024	246766
463	155325	246378
464	155641	246013
465	155964	245660
466	156293	245317
467	156626	244979
468	156952	244630
469	157276	244280
470	157567	243877
471	157864	243485
472	158176	243117
473	158498	242764
474	158822	242413
475	159134	242044
476	159461	241699
477	159660	241161
478	159996	240830
479	160317	240476
480	160617	240091
481	160937	239736
482	161255	239379
483	161562	239006
484	161833	238578
485	162119	238174
486	162514	237931
487	162841	237588
488	163240	237349
489	163576	237018
490	163870	236627
491	164180	236259
492	164510	235920
493	164823	235557
494	165081	235116
495	165426	234799
496	165743	234442
497	166092	234130
498	166373	233723
499	166621	233269
500	166931	232903
501	167237	232533
502	167521	232132
503	167736	231635
504	168025	231242
505	168299	230829
506	168611	230469
507	168890	230063
508	169214	229719
509	169485	229304
510	169742	228869
511	170078	228543
512	170407	228207
513	170682	227797
514	171052	227516
515	171400	227205
516	171732	226873
517	172036	226503
518	172344	226139
519	172641	225762
520	172876	225303
521	173212	224977
522	173541	224641
523	173862	224295
524	174135	223888
525	174426	223504
526	174720	223125
527	175063	222808
528	175385	222464
529	175730	222149
530	176042	221794
531	176380	221470
532	176687	221108
533	177008	220763
534	177320	220407
535	177656	220082
536	177939	219691
537	178234	219314
538	178582	219003
539	178889	218642
540	179263	218363
541	179621	218064
542	179928	217703
543	180280	217396
544	180642	217102
545	180964	216759
546	181268	216394
547	181550	216005
548	181829	215611
549	182091	215198
550	182418	214862
551	182665	214433
552	182961	214061
553	183241	213671
554	183527	213288
555	183832	212928
556	184104	212529
557	184398	212157
558	184719	211816
559	185018	211449
560	185339	211108
561	185654	210760
562	185936	210375
563	186210	209981
564	186500	209606
565	186776	209216
566	187054	208828
567	187403	208519
568	187716	208171
569	188047	207841
570	188331	207461
571	188631	207099
572	188934	206739
573	189269	206415
574	189605	206093
575	189913	205739
576	190206	205370
577	190520	205023
578	190801	204641
579	191085	204263
580	191391	203909
581	191685	203542
582	191968	203163
583	192296	202833
584	192588	202464
585	192911	202129
586	193213	201771
587	193511	201409
588	193804	201043
589	194106	200686
590	194391	200312
591	194673	199935
592	194962	199565
593	195257	199202
594	195573	198859
595	195864	198493
596	196210	198182
597	196517	197831
598	196833	197490
599	197151	197151
600	197482	196825
601	197790	196476
602	198105	196134
603	198427	195798
604	198712	195427
605	199029	195088
606	199337	194740
607	199739	194483
608	200067	194154
609	200371	193801
610	200665	193439
611	200980	193099
612	201288	192750
613	201504	192315
614	201789	191946
615	202117	191618
616	202393	191240
617	202706	190898
618	203005	190542
619	203300	190184
620	203546	189780
621	203842	189422
622	204149	189076
623	204449	188722
624	204738	188359
625	205093	188056
626	205378	187690
627	205672	187332
628	205948	186958
629	206273	186628
630	206573	186276
631	206862	185914
632	207181	185579
633	207484	185230
634	207762	184859
635	208026	184476
636	208341	184138
637	208579	183733
638	208861	183366
639	209120	182980
640	209425	182634
641	209725	182284
642	209999	181912
643	210327	181586
644	210654	181260
645	210955	180912
646	211244	180553
647	211569	180225
648	211836	179848
649	212076	179449
650	212383	179106
651	212673	178750
652	212921	178358
653	213211	178002
654	213496	177641
655	213803	177300
656	214101	176951
657	214403	176605
658	214739	176288
659	215087	175980
660	215406	175649
661	215672	175274
662	215941	174902
663	216280	174588
664	216598	174255
665	216893	173905
666	217205	173569
667	217494	173214
668	217785	172860
669	218069	172502
670	218353	172144
671	218646	171793
672	218940	171443
673	219234	171094
674	219559	170768
675	219850	170416
676	220141	170064
677	220418	169703
678	220682	169330
679	220926	168943
680	221242	168612
681	221511	168244
682	221824	167911
683	222112	167558
684	222437	167234
685	222704	166865
686	223039	166549
687	223361	166222
688	223748	165943
689	224052	165604
690	224363	165268
691	224704	164956
692	224968	164587
693	225245	164228
694	225537	163879
695	225862	163555
696	226198	163239
697	226475	162880
698	226776	162539
699	227112	162223
700	227432	161895
701	227724	161548
702	228002	161190
703	228322	160863
704	228633	160530
705	228899	160164
706	229246	159856
707	229551	159518
708	229848	159176
709	230172	158851
710	230436	158485
711	230774	158171
712	231095	157845
713	231391	157501
714	231704	157170
715	231985	156816
716	232270	156466
717	232615	156156
718	232872	155787
719	233157	155438
720	233472	155108
721	233716	154732
722	234033	154404
723	234289	154035
724	234552	153672
725	234796	153296
726	235029	152914
727	235345	152586
728	235626	152235
729	235926	151897
730	236307	151612
731	236706	151336
732	237098	151057
733	237476	150768
734	237820	150458
735	238125	150122
736	238490	149825
737	238835	149515
738	239146	149183
739	239499	148878
740	239813	148548
741	240153	148234
742	240479	147912
743	240765	147565
744	241050	147218
745	241374	146895
746	241691	146568
747	241974	146219
748	242266	145877
749	242554	145532
750	242857	145196
751	243139	144849
752	243428	144505
753	243729	144169
754	244024	143828
755	244317	143488
756	244601	143142
757	244906	142808
758	245215	142477
759	245561	142167
760	245857	141828
761	246172	141500
762	246474	141165
763	246841	140867
764	247112	140515
765	247318	140125
766	247576	139766
767	247880	139432
768	248223	139121
769	248505	138775
770	248813	138444
771	249137	138122
772	249450	137794
773	249738	137453
774	250063	137131
775	250370	136800
776	250657	136458
777	250907	136096
778	251219	135768
779	251520	135434
780	251804	135091
781	252079	134743
782	252371	134404
783	252649	134058
784	252944	133722
785	253252	133392
786	253742	133158
787	254066	132836
788	254394	132517
789	254685	132178
790	254989	131846
791	255298	131517
792	255643	131206
793	256018	130911
794	256360	130598
795	256705	130287
796	257053	129977
797	257337	129636
798	257596	129282
799	257951	128975
800	258278	128655
801	258606	128335
802	258926	128012
803	259316	127723
804	259627	127394
805	259985	127089
806	260293	126759
807	260633	126446
808	260936	126113
809	261222	125774
810	261556	125456
811	261894	125141
812	262208	124815
813	262517	124486
814	262837	124162
815	263179	123849
816	263516	123533
817	263828	123205
818	264151	122883
819	264455	122552
820	264812	122246
821	265095	121905
822	265404	121576
823	265692	121238
824	266003	120910
825	266297	120575
826	266614	120250
827	266914	119918
828	267192	119575
829	267491	119242
830	267762	118898
831	268098	118581
832	268407	118253
833	268704	117920
834	269006	117589
835	269322	117264
836	269615	116930
837	269893	116588
838	270237	116276
839	270568	115957
840	270872	115628
841	271171	115296
842	271484	114970
843	271749	114624
844	272084	114307
845	272418	113990
846	272715	113658
847	273042	113338
848	273342	113007
849	273644	112677
850	273939	112343
851	274267	112024
852	274565	111693
853	274895	111374
854	275138	111020
855	275472	110703
856	275795	110382
857	276125	110063
858	276460	109747
859	276714	109398
860	277025	109072
861	277339	108747
862	277622	108411
863	277933	108085
864	278263	107766
865	278566	107438
866	278865	107107
867	279158	106774
868	279481	106453
869	279773	106121
870	280078	105793
871	280379	105463
872	280673	105131
873	280952	104794
874	281198	104445
875	281481	104109
876	281773	103777
877	282057	103442
878	282366	103116
879	282531	102738
880	282831	102409
881	283144	102086
882	283472	101767
883	283759	101434
884	284050	101102
885	284407	100794
886	284682	100457
887	284954	100119
888	285265	99794
889	285578	99471
890	285868	99139
891	286170	98812
892	286459	98480
893	286760	98152
894	287034	97816
895	287358	97496
896	287721	97190
897	288045	96870
898	288350	96544
899	288650	96216
900	288947	95888
901	289296	95576
902	289604	95251
903	289902	94923
904	290227	94604
905	290545	94282
906	290836	93952
907	291155	93631
908	291456	93304
909	291749	92975
910	292041	92645
911	292322	92312
912	292630	91988
913	292901	91651
914	293228	91333
915	293506	90999
916	293813	90675
917	294122	90351
918	294380	90011
919	294665	89680
920	294950	89349
921	295259	89026
922	295564	88701
923	295842	88368
924	296144	88042
925	296447	87717
926	296779	87401
927	297123	87087
928	297461	86773
929	297753	86444
930	298033	86112
931	298344	85789
932	298666	85470
933	298966	85144
934	299264	84818
935	299572	84494
936	299887	84173
937	300168	83842
938	300452	83512
939	300754	83187
940	301045	82859
941	301314	82525
942	301690	82221
943	301988	81895
944	302312	81576
945	302604	81249
946	302902	80923
947	303171	80589
948	303513	80275
949	303808	79949
950	304116	79626
951	304389	79294
952	304686	78968
953	304988	78644
954	305293	78321
955	305573	77991
956	305877	77667
957	306216	77353
958	306507	77026
959	306781	76695
960	307081	76370
961	307373	76044
962	307637	75711
963	307912	75381
964	308183	75049
965	308447	74717
966	308767	74397
967	309058	74071
968	309387	73754
969	309726	73440
970	310014	73113
971	310294	72785
972	310605	72463
973	310912	72141
974	311217	71819
975	311561	71505
976	311889	71188
977	312202	70868
978	312506	70545
979	312792	70218
980	313070	69890
981	313388	69570
982	313681	69246
983	313954	68916
984	314274	68597
985	314555	68270
986	314841	67944
987	315130	67619
988	315438	67297
989	315751	66977
990	316059	66656
991	316354	66332
992	316661	66011
993	316953	65686
994	317260	65365
995	317545	65039
996	317856	64719
997	318129	64390
998	318418	64066
999	318721	63744
1000	319067	63431
1001	319394	63113
1002	319717	62795
1003	320016	62473
1004	320320	62151
1005	320635	61832
1006	320967	61516
1007	321289	61198
1008	321592	60876
1009	321863	60548
1010	322155	60224
1011	322461	59903
1012	322743	59578
1013	323055	59258
1014	323347	58935
1015	323692	58621
1016	324022	58305
1017	324342	57986
1018	324659	57667
1019	324958	57345
1020	325230	57018
1021	325544	56699
1022	325843	56377
1023	326150	56057
1024	326432	55732
1025	326766	55416
1026	327050	55092
1027	327351	54770
1028	327651	54449
1029	327924	54123
1030	328237	53804
1031	328508	53478
1032	328802	53155
1033	329069	52829
1034	329357	52506
1035	329689	52190
1036	329993	51869
1037	330259	51543
1038	330554	51221
1039	330844	50899
1040	331101	50571
1041	331406	50251
1042	331698	49929
1043	331905	49595
1044	332222	49277
1045	332511	48954
1046	332827	48636
1047	333047	48304
1048	333350	47984
1049	333653	47664
1050	333981	47348
1051	334307	47031
1052	334591	46709
1053	334827	46380
1054	335127	46060
1055	335439	45741
1056	335735	45421
1057	336066	45105
1058	336383	44787
1059	336670	44465
1060	336950	44143
1061	337268	43825
1062	337522	43500
1063	337835	43181
1064	338140	42862
1065	338490	42549
1066	338793	42230
1067	339110	41912
1068	339424	41594
1069	339734	41276
1070	340071	40960
1071	340360	40640
1072	340655	40319
1073	340947	39999
1074	341210	39675
1075	341530	39358
1076	341817	39037
1077	342101	38716
1078	342405	38397
1079	342715	38079
1080	343021	37760
1081	343339	37443
1082	343624	37122
1083	343917	36802
1084	344246	36486
1085	344517	36164
1086	344808	35844
1087	345093	35524
1088	345404	35206
1089	345711	34888
1090	346078	34576
1091	346417	34261
1092	346728	33943
1093	347042	33625
1094	347372	33309
1095	347702	32993
1096	348035	32677
1097	348398	32364
1098	348688	32045
1099	348997	31727
1100	349307	31409
1101	349629	31092
1102	349937	30774
1103	350263	30457
1104	350588	30141
1105	350898	29823
1106	351189	29503
1107	351496	29185
1108	351794	28866
1109	352094	28548
1110	352353	28226
1111	352632	27906
1112	352927	27587
1113	353210	27267
1114	353543	26951
1115	353855	26634
1116	354222	26320
1117	354497	26000
1118	354790	25681
1119	355090	25363
1120	355405	25046
1121	355721	24729
1122	356014	24410
1123	356331	24093
1124	356631	23775
1125	356921	23456
1126	357213	23138
1127	357500	22819
1128	357775	22499
1129	358073	22181
1130	358379	21864
1131	358626	21542
1132	358931	21225
1133	359275	20910
1134	359551	20591
1135	359863	20274
1136	360163	19956
1137	360476	19639
1138	360791	19322
1139	361097	19005
1140	361504	18693
1141	361800	18375
1142	362115	18058
1143	362437	17741
1144	362760	17425
1145	363077	17108
1146	363347	16789
1147	363636	16471
1148	363925	16153
1149	364174	15833
1150	364444	15515
1151	364739	15197
1152	365052	14880
1153	365374	14564
1154	365685	14247
1155	365977	13929
1156	366254	13611
1157	366582	13295
1158	366883	12978
1159	367186	12661
1160	367506	12345
1161	367796	12027
1162	368098	11710
1163	368381	11393
1164	368664	11075
1165	368961	10758
1166	369263	10441
1167	369570	10125
1168	369850	9807
1169	370107	9489
1170	370414	9173
1171	370694	8856
1172	370922	8537
1173	371224	8221
1174	371489	7904
1175	371773	7587
1176	372080	7270
1177	372394	6954
1178	372671	6637
1179	372952	6321
1180	373268	6005
1181	373609	5689
1182	373872	5372
1183	374154	5056
1184	374485	4740
1185	374797	4424
1186	375086	4107
1187	375375	3791
1188	375677	3475
1189	375970	3159
1190	376275	2843
1191	376587	2527
1192	376860	2211
1193	377185	1895
1194	377481	1579
1195	377772	1263
1196	378059	947
1197	378384	631
1198	378654	315
1199	379018	0
